,Villes,Notes
0,Gradignan,4.5
1,Tournefeuille,4.5
2,Saint-Prix,4.4
3,Montévrain,4.4
4,Vélizy-Villacoublay,4.4
5,La Bourboule,4.4
6,Magny-le-Hongre,4.3
7,Le Plessis-Robinson,4.3
8,Blanquefort,4.3
9,Lieusaint,4.3
10,Vaison-la-Romaine,4.3
11,Poisy,4.3
12,Gournay-sur-Marne,4.3
13,Joinville-le-Pont,4.2
14,Carrières-sur-Seine,4.2
15,Saint-Gilles-Croix-de-Vie,4.2
16,Le Raincy,4.2
17,Landerneau,4.2
18,Bondues,4.2
19,Lannilis,4.2
20,Wittenheim,4.2
21,La Baule-Escoublac,4.2
22,Saint-Étienne-de-Montluc,4.2
23,Beauchamp,4.2
24,Saint-Germain-en-Laye,4.2
25,Yerres,4.1
26,Sèvres,4.1
27,Vincennes,4.1
28,Le Vésinet,4.1
29,Viroflay,4.1
30,Culoz,4.1
31,Sceaux,4.1
32,Vaires-sur-Marne,4.1
33,Fontainebleau,4.1
34,Houdan,4.1
35,Frelinghien,4.1
36,Bry-sur-Marne,4.1
37,Saint-Renan,4.1
38,Les Mureaux,4.1
39,Rocbaron,4.1
40,Lamorlaye,4.1
41,Saint-Mandé,4.1
42,Montrouge,4.1
43,La Garde,4
44,Oye-Plage,4
45,Carquefou,4
46,Illkirch-Graffenstaden,4
47,Vitré,4
48,Vertou,4
49,Marcq-en-Baroeul,4
50,Saint-Leu-la-Forêt,4
51,Draveil,4
52,Mandelieu-la-Napoule,4
53,Gex,4
54,Saint-Maurice,4
55,Saint-Gratien,4
56,Paray-le-Monial,4
57,Olivet,4
58,Bolbec,4
59,L'Isle-Adam,4
60,L'Isle-Adam,4
61,Saint-Médard-en-Jalles,4
62,Le Plessis-Trévise,4
63,Ploemeur,4
64,Saint-Cyprien,4
65,Pernes-les-Fontaines,4
66,Betton,4
67,Montbrison,4
68,Gif-sur-Yvette,4
69,La Gaude,3.9
70,Levallois-Perret,3.9
71,Chauny,3.9
72,Thouaré-sur-Loire,3.9
73,Saint-Maur-des-Fossés,3.9
74,Céret,3.9
75,La Grande-Motte,3.9
76,Sélestat,3.9
77,Élancourt,3.9
78,Le Perreux-sur-Marne,3.9
79,Blagnac,3.9
80,Bois-le-Roi,3.9
81,Marly-le-Roi,3.9
82,Eysines,3.9
83,Aix-les-Bains,3.9
84,Lanester,3.9
85,Vesoul,3.9
86,Puteaux,3.9
87,Plouay,3.9
88,Marseillan,3.9
89,Chelles,3.9
90,Claye-Souilly,3.9
91,Villers-lès-Nancy,3.9
92,Nogent-sur-Marne,3.9
93,Hénin-Beaumont,3.9
94,Saint-Sébastien-sur-Loire,3.9
95,Arcachon,3.9
96,Avranches,3.9
97,Soisy-sous-Montmorency,3.9
98,Pessac,3.9
99,Vannes,3.9
100,Thiais,3.9
101,Uzès,3.9
102,Saint-Estève,3.9
103,Orvault,3.9
104,Redon,3.9
105,Chatou,3.9
106,Les Herbiers,3.9
107,Orsay,3.9
108,Trouville-sur-Mer,3.9
109,Maisons-Alfort,3.9
110,Foix,3.9
111,Collioure,3.9
112,Anglet,3.9
113,Charenton-le-Pont,3.9
114,Beynes,3.9
115,Maizières-lès-Metz,3.9
116,Toul,3.9
117,Versailles,3.8
118,Montlouis-sur-Loire,3.8
119,Digoin,3.8
120,Vittel,3.8
121,Eaubonne,3.8
122,Pontchâteau,3.8
123,Ollioules,3.8
124,Wambrechies,3.8
125,Luçon,3.8
126,Cambrai,3.8
127,Chamalières,3.8
128,Clamart,3.8
129,Beaune,3.8
130,Antony,3.8
131,Ramonville-Saint-Agne,3.8
132,Castelsarrasin,3.8
133,Le Pradet,3.8
134,Louviers,3.8
135,Saint-Jean-de-Monts,3.8
136,La Garenne-Colombes,3.8
137,Roquebrune-sur-Argens,3.8
138,Castelnau-le-Lez,3.8
139,Ville-d'Avray,3.8
140,Palaiseau,3.8
141,Meaux,3.8
142,Bruz,3.8
143,Fontenay-aux-Roses,3.8
144,Poissy,3.8
145,Garches,3.8
146,Clisson,3.8
147,Monteux,3.8
148,Arras,3.8
149,Ozoir-la-Ferrière,3.8
150,Sainte-Luce-sur-Loire,3.8
151,Le Barcarès,3.8
152,Éragny,3.8
153,Mayenne,3.8
154,Compiègne,3.8
155,Saint-Laurent-de-la-Salanque,3.8
156,Wavrin,3.8
157,Provins,3.8
158,Dole,3.8
159,Cormeilles-en-Parisis,3.8
160,Décines-Charpieu,3.8
161,Aubenas,3.8
162,Mende,3.8
163,Ermont,3.8
164,Meudon,3.8
165,Pornic,3.8
166,Noisy-le-Grand,3.8
167,Issoire,3.8
168,Leers,3.8
169,Méru,3.8
170,Pontarlier,3.8
171,Triel-sur-Seine,3.8
172,Amboise,3.7
173,Neuilly-sur-Seine,3.7
174,Vaucresson,3.7
175,Saint-Amand-les-Eaux,3.7
176,Le Cannet,3.7
177,Fréjus,3.7
178,Pierrelaye,3.7
179,Lambersart,3.7
180,Le Pecq,3.7
181,Rambouillet,3.7
182,Chantilly,3.7
183,Le Puy-en-Velay,3.7
184,Dieppe,3.7
185,Caluire-et-Cuire,3.7
186,Granville,3.7
187,Auterive,3.7
188,Maromme,3.7
189,Deuil-la-Barre,3.7
190,Savenay,3.7
191,Thuir,3.7
192,La Roche-sur-Yon,3.7
193,Brie-Comte-Robert,3.7
194,Agen,3.7
195,Mandres-les-Roses,3.7
196,Bouffémont,3.7
197,Cestas,3.7
198,Pélissanne,3.7
199,Bussy-Saint-Georges,3.7
200,Villenave-d'Ornon,3.7
201,Douarnenez,3.7
202,Fouesnant,3.7
203,Challans,3.7
204,Pontoise,3.7
205,Villeneuve-Loubet,3.7
206,Dinan,3.7
207,Rennes,3.7
208,Caen,3.7
209,Brunoy,3.7
210,Brunoy,3.7
211,Mouvaux,3.7
212,Tournon-sur-Rhône,3.7
213,Fontenay-le-Comte,3.7
214,Guérande,3.7
215,Yvetot,3.7
216,Pontivy,3.7
217,Plaisir,3.7
218,Pau,3.7
219,Béthune,3.7
220,Tours,3.7
221,Maisons-Laffitte,3.7
222,Cholet,3.7
223,Le Taillan-Médoc,3.7
224,Hérouville-Saint-Clair,3.7
225,Brive-la-Gaillarde,3.7
226,Sarlat-la-Canéda,3.7
227,Boulogne-Billancourt,3.7
228,Conflans-Sainte-Honorine,3.7
229,Montesson,3.7
230,Bailleul,3.7
231,Lannion,3.7
232,Lagny-sur-Marne,3.7
233,Suresnes,3.7
234,Limoges,3.7
235,Saint-Jean-de-Luz,3.7
236,Pierrelatte,3.7
237,Torcy,3.6
238,Nérac,3.6
239,Le Blanc-Mesnil,3.6
240,Sucy-en-Brie,3.6
241,Lognes,3.6
242,Montigny-le-Bretonneux,3.6
243,Saintes,3.6
244,Oullins,3.6
245,Talence,3.6
246,Angers,3.6
247,Jouy-le-Moutier,3.6
248,Enghien-les-Bains,3.6
249,Voiron,3.6
250,Domont,3.6
251,Vichy,3.6
252,Franconville,3.6
253,Saint-Maximin-la-Sainte-Baume,3.6
254,Sarrebourg,3.6
255,Avrillé,3.6
256,Verneuil-sur-Seine,3.6
257,Millau,3.6
258,Moissy-Cramayel,3.6
259,Cognac,3.6
260,Bayonne,3.6
261,Sainte-Geneviève-des-Bois,3.6
262,Lunel,3.6
263,Auxerre,3.6
264,Cannes,3.6
265,Salon-de-Provence,3.6
266,Athis-Mons,3.6
267,Mazamet,3.6
268,Taverny,3.6
269,Cabestany,3.6
270,Andernos-les-Bains,3.6
271,Mazamet,3.6
272,Cabestany,3.6
273,Taverny,3.6
274,Annecy,3.6
275,Saint-Malo,3.6
276,Biarritz,3.6
277,Auray,3.6
278,Riom,3.6
279,Dijon,3.6
280,Metz,3.6
281,Concarneau,3.6
282,L'Isle-sur-la-Sorgue,3.6
283,Quiberon,3.6
284,Saint-Julien-en-Genevois,3.6
285,Épernay,3.6
286,Saint-Gilles,3.6
287,Hazebrouck,3.6
288,Villeneuve-Tolosane,3.6
289,Bois-d'Arcy,3.6
290,Les Sables-d'Olonne,3.6
291,Bédarrides,3.6
292,Serris,3.6
293,Mauguio,3.6
294,Muret,3.6
295,Aix-en-Provence,3.6
296,Chalon-sur-Saône,3.6
297,Chambéry,3.6
298,Issy-les-Moulineaux,3.6
299,Créteil,3.6
300,Montmorency,3.6
301,Cassis,3.6
302,Montauban,3.6
303,Malakoff,3.6
304,Montfermeil,3.6
305,Honfleur,3.6
306,Saint-Laurent-du-Var,3.6
307,Châtillon,3.6
308,Saint-Martin-de-Crau,3.6
309,Nangis,3.6
310,Bagnères-de-Bigorre,3.6
311,Besançon,3.6
312,Lyon,3.5
313,Quimper,3.5
314,Louvres,3.5
315,Vauréal,3.5
316,Strasbourg,3.5
317,Sarreguemines,3.5
318,Saint-Raphaël,3.5
319,Antibes,3.5
320,Osny,3.5
321,Montigny-lès-Metz,3.5
322,Aulnoye-Aymeries,3.5
323,Parthenay,3.5
324,Bruges,3.5
325,Ballancourt-sur-Essonne,3.5
326,Allauch,3.5
327,Mulhouse,3.5
328,Carrières-sous-Poissy,3.5
329,Bordeaux,3.5
330,Sanary-sur-Mer,3.5
331,Montgeron,3.5
332,Rueil-Malmaison,3.5
333,Bourges,3.5
334,Marignane,3.5
335,Gerzat,3.5
336,Caudry,3.5
337,Bastia (B),3.5
338,Digne-les-Bains,3.5
339,Castres,3.5
340,Cherbourg-en-Cotentin,3.5
341,Ajaccio (A),3.5
342,Saint-Paul-lès-Dax,3.5
343,Chilly-Mazarin,3.5
344,Saint-Omer,3.5
345,Brest,3.5
346,Albi,3.5
347,Villemomble,3.5
348,Deauville,3.5
349,Brétigny-sur-Orge,3.5
350,Guingamp,3.5
351,Cachan,3.5
352,Bourg-en-Bresse,3.5
353,Les Pavillons-sous-Bois,3.5
354,Lille,3.5
355,Breuillet,3.5
356,Bandol,3.5
357,L'Isle-d'Abeau,3.5
358,Déville-lès-Rouen,3.5
359,Draguignan,3.5
360,Saint-Ouen-l'Aumône,3.5
361,Amiens,3.5
362,Colmar,3.5
363,Villeneuve-d'Ascq,3.5
364,La Rochelle,3.5
365,Rosny-sous-Bois,3.5
366,Fougères,3.5
367,Villeparisis,3.5
368,Tournan-en-Brie,3.5
369,Dax,3.5
370,Pantin,3.5
371,Saumur,3.4
372,Martigues,3.4
373,Viry-Châtillon,3.4
374,Royan,3.4
375,Gujan-Mestras,3.4
376,Asnières-sur-Seine,3.4
377,Herblay-sur-Seine,3.4
378,Chaville,3.4
379,Épinay-sur-Orge,3.4
380,Nancy,3.4
381,Verdun,3.4
382,Rethel,3.4
383,Arpajon,3.4
384,Chartres,3.4
385,Plaisance-du-Touch,3.4
386,Puget-sur-Argens,3.4
387,Courbevoie,3.4
388,Bonneville,3.4
389,Poitiers,3.4
390,Mérignac,3.4
391,Neuilly-sur-Marne,3.4
392,Ormesson-sur-Marne,3.4
393,Montigny-lès-Cormeilles,3.4
394,Mantes-la-Jolie,3.4
395,Le Creusot,3.4
396,Six-Fours-les-Plages,3.4
397,La Teste-de-Buch,3.4
398,Rosporden,3.4
399,Marquette-lez-Lille,3.4
400,Ploërmel,3.4
401,Noisiel,3.4
402,Le Chesnay-Rocquencourt,3.4
403,Tremblay-en-France,3.4
404,Mantes-la-Ville,3.4
405,Belfort,3.4
406,Saint-Dié-des-Vosges,3.4
407,Lormont,3.4
408,Maurepas,3.4
409,Chevilly-Larue,3.4
410,Bernay,3.4
411,Le Havre,3.4
412,Larmor-Plage,3.4
413,Rumilly,3.4
414,Trans-en-Provence,3.4
415,Le Mans,3.4
416,Nice,3.4
417,Berck,3.4
418,Dunkerque,3.4
419,Obernai,3.4
420,Vendôme,3.4
421,Reims,3.4
422,Troyes,3.4
423,Genas,3.4
424,Bron,3.4
425,Alfortville,3.4
426,Carvin,3.4
427,Nevers,3.4
428,Cagnes-sur-Mer,3.4
429,Saint-Chamond,3.4
430,Haubourdin,3.4
431,Lunéville,3.4
432,Les Lilas,3.4
433,Évreux,3.3
434,Sannois,3.3
435,Saint-Brevin-les-Pins,3.3
436,Bois-Colombes,3.3
437,Périgueux,3.3
438,Marmande,3.3
439,Cadaujac,3.3
440,Balaruc-les-Bains,3.3
441,Clermont-Ferrand,3.3
442,Aigues-Mortes,3.3
443,Le Pré-Saint-Gervais,3.3
444,Châteauroux,3.3
445,Vernon,3.3
446,Montpellier,3.3
447,Bessancourt,3.3
448,Gruissan,3.3
449,Rezé,3.3
450,Gap,3.3
451,Saverne,3.3
452,Sallanches,3.3
453,Lorient,3.3
454,Étampes,3.3
455,Mont-de-Marsan,3.3
456,Laval,3.3
457,Roanne,3.3
458,Hennebont,3.3
459,Saint-Michel-sur-Orge,3.3
460,Saint-Brieuc,3.3
461,Villiers-sur-Marne,3.3
462,Wattrelos,3.3
463,Quincy-sous-Sénart,3.3
464,Alès,3.3
465,Aurillac,3.3
466,Orange,3.3
467,Parempuyre,3.3
468,La Crau,3.3
469,Paris,3.3
470,Gravelines,3.3
471,Sartrouville,3.3
472,Épinal,3.3
473,Sète,3.3
474,Tarare,3.3
475,Le Croisic,3.3
476,Fontenay-sous-Bois,3.3
477,Biscarrosse,3.3
478,Bully-les-Mines,3.3
479,Nantes,3.3
480,Saint-Jean-d'Angély,3.3
481,Maringues,3.3
482,Bègles,3.3
483,Thionville,3.3
484,La Ciotat,3.3
485,Bruay-la-Buissière,3.3
486,Soissons,3.3
487,Boissy-Saint-Léger,3.3
488,Issou,3.3
489,Niort,3.3
490,Montbéliard,3.3
491,Istres,3.2
492,Saint-Fargeau-Ponthierry,3.2
493,Rochefort,3.2
494,Gagny,3.2
495,Champs-sur-Marne,3.2
496,Wattignies,3.2
497,Pézenas,3.2
498,Rodez,3.2
499,Miramas,3.2
500,Roissy-en-Brie,3.2
501,Croissy-sur-Seine,3.2
502,Villefranche-de-Rouergue,3.2
503,Dammartin-en-Goële,3.2
504,Houilles,3.2
505,Rouen,3.2
506,Villeurbanne,3.2
507,Villebon-sur-Yvette,3.2
508,Wasquehal,3.2
509,Moulins,3.2
510,Graulhet,3.2
511,Carpentras,3.2
512,Valence,3.2
513,Hyères,3.2
514,Chaumont,3.2
515,Morlaix,3.2
516,Canet-en-Roussillon,3.2
517,Lodève,3.2
518,Groslay,3.2
519,Douai,3.2
520,Vigneux-sur-Seine,3.2
521,Lens,3.2
522,Arcueil,3.2
523,Béziers,3.2
524,Mons-en-Baroeul,3.2
525,Saint-Étienne,3.2
526,Bar-le-Duc,3.2
527,Tourcoing,3.2
528,Persan,3.2
529,Vallauris,3.2
530,Sens,3.2
531,Gisors,3.2
532,Armentières,3.2
533,Angoulême,3.2
534,Bourgoin-Jallieu,3.2
535,Clichy,3.2
536,Saint-Brice-sous-Forêt,3.2
537,Sedan,3.2
538,Évian-les-Bains,3.2
539,Fécamp,3.2
540,Castelnaudary,3.2
541,Montélimar,3.2
542,Villeneuve-la-Garenne,3.2
543,Romainville,3.2
544,Saint-Quentin,3.1
545,Calais,3.1
546,Mèze,3.1
547,Beauvais,3.1
548,Saint-Junien,3.1
549,Ambarès-et-Lagrave,3.1
550,Tonneins,3.1
551,Toulouse,3.1
552,Les Ulis,3.1
553,Toulon,3.1
554,Abbeville,3.1
555,Charleville-Mézières,3.1
556,Villeneuve-le-Roi,3.1
557,Juvignac,3.1
558,Albertville,3.1
559,Agde,3.1
560,Saint-Herblain,3.1
561,Soisy-sur-Seine,3.1
562,Saint-Martin-d'Hères,3.1
563,Évry-Courcouronnes,3.1
564,Leforest,3.1
565,Rillieux-la-Pape,3.1
566,Haguenau,3.1
567,Blois,3.1
568,Massy,3.1
569,Colombes,3.1
570,Sisteron,3.1
571,Thonon-les-Bains,3.1
572,Pertuis,3.1
573,Épinay-sur-Seine,3.1
574,Sin-le-Noble,3.1
575,Orléans,3.1
576,Champigny-sur-Marne,3.1
577,Saint-Nazaire,3.1
578,Palavas-les-Flots,3.1
579,Saint-Girons,3.1
580,Morsang-sur-Orge,3.1
581,Trappes,3.1
582,Savigny-le-Temple,3.1
583,L'Haÿ-les-Roses,3.1
584,Aubagne,3.1
585,Saint-Louis,3.1
586,Cahors,3.1
587,Cenon,3.1
588,Perpignan,3.1
589,Tarbes,3.1
590,Châtellerault,3.1
591,Montargis,3.1
592,Achères,3
593,Montluçon,3
594,Cergy,3
595,Narbonne,3
596,Écouen,3
597,Boussy-Saint-Antoine,3
598,Châlons-en-Champagne,3
599,Laon,3
600,Pontault-Combault,3
601,Combs-la-Ville,3
602,Orly,3
603,Gennevilliers,3
604,Courcelles-lès-Lens,3
605,Nemours,3
606,Cuers,3
607,La Queue-en-Brie,3
608,Grasse,3
609,Libourne,3
610,Limay,3
611,Champagne-sur-Seine,3
612,Blain,3
613,Villepinte,3
614,Boulogne-sur-Mer,3
615,Colomiers,3
616,Denain,3
617,Lons-le-Saunier,3
618,Menton,3
619,Sains-en-Gohelle,3
620,Sorgues,3
621,Billy-Montigny,3
622,Saint-Genis-Pouilly,2.9
623,Montreuil,2.9
624,Revel,2.9
625,Gardanne,2.9
626,Nanterre,2.9
627,Chinon,2.9
628,Dreux,2.9
629,Saint-Cloud,2.9
630,Arles,2.9
631,Ris-Orangis,2.9
632,Nîmes,2.9
633,Stains,2.9
634,Argelès-sur-Mer,2.9
635,Mâcon,2.9
636,Lézignan-Corbières,2.9
637,Carcassonne,2.9
638,Vitrolles,2.9
639,Limeil-Brévannes,2.8
640,Bondoufle,2.8
641,Le Bourget,2.8
642,Migennes,2.8
643,Le Boulou,2.8
644,Villiers-le-Bel,2.8
645,Thiers,2.8
646,Juvisy-sur-Orge,2.8
647,La Valette-du-Var,2.8
648,Roubaix,2.8
649,Frontignan,2.8
650,Manosque,2.8
651,Forcalqueiret,2.8
652,Villeneuve-sur-Lot,2.8
653,Ézanville,2.8
654,Loos,2.8
655,Savigny-sur-Orge,2.8
656,Melun,2.8
657,Choisy-le-Roi,2.8
658,Coulommiers,2.8
659,Maubeuge,2.8
660,Grenoble,2.8
661,La Seyne-sur-Mer,2.8
662,Valenciennes,2.8
663,Schiltigheim,2.8
664,Saint-Ambroix,2.8
665,Longjumeau,2.8
666,Montmagny,2.8
667,Montereau-Fault-Yonne,2.8
668,Anzin,2.8
669,Villefranche-sur-Saône,2.8
670,Croix,2.8
671,Vanves,2.8
672,Goussainville,2.7
673,Illzach,2.7
674,Le Petit-Quevilly,2.7
675,Darnétal,2.7
676,Pamiers,2.7
677,Auch,2.7
678,Fresnes,2.7
679,Villejuif,2.7
680,Saint-Cyr-l'École,2.7
681,Magny-en-Vexin,2.7
682,Thorigny-sur-Marne,2.7
683,Châtenay-Malabry,2.7
684,Auchel,2.7
685,Oyonnax,2.7
686,Cugnaux,2.7
687,La Ferté-sous-Jouarre,2.7
688,Vierzon,2.7
689,Beaumont-sur-Oise,2.6
690,Saint-Ouen-sur-Seine,2.6
691,Vénissieux,2.6
692,Lourdes,2.6
693,Échirolles,2.6
694,Sevran,2.6
695,Drancy,2.6
696,Bergerac,2.6
697,Héricourt,2.6
698,Isbergues,2.6
699,Marseille,2.6
700,Romans-sur-Isère,2.6
701,Le Kremlin-Bicêtre,2.6
702,Avignon,2.6
703,Saint-Dizier,2.6
704,Bobigny,2.6
705,Elbeuf,2.6
706,Livry-Gargan,2.5
707,Bezons,2.5
708,Saint-Priest,2.5
709,Hayange,2.5
710,Lisieux,2.5
711,Fontaines-sur-Saône,2.5
712,Aulnay-sous-Bois,2.5
713,Gentilly,2.5
714,Montceau-les-Mines,2.4
715,Noisy-le-Sec,2.4
716,Vienne,2.4
717,Bougival,2.4
718,Bagnols-sur-Cèze,2.4
719,Annemasse,2.4
720,Sarcelles,2.4
721,Vitry-sur-Seine,2.4
722,Carmaux,2.3
723,Ivry-sur-Seine,2.3
724,Saint-Denis,2.3
725,Vif,2.3
726,Creil,2.3
727,Aubervilliers,2.3
728,Lillers,2.3
729,Bagneux,2.3
730,Port-de-Bouc,2.2
731,Woippy,2.2
732,Vaujours,2.2
733,La Celle-Saint-Cloud,2.2
734,La Courneuve,2.1
735,Villeneuve-Saint-Georges,2.1
736,Corbeil-Essonnes,2.1
737,Bagnolet,2
738,Argenteuil,2
739,Bondy,1.9
740,Tarascon,1.9
741,Coursan,1.8
742,Castillon-la-Bataille,1.6
743,Garges-lès-Gonesse,1.3
